reach,date_time,Qi,Q,Ci,PAR,Cs,Cobs,PAR_umol
1,04/08/2019 10:25,54.26995446,43.14849112,11.07,1.153588777,10.79670786,11.21,1178
1,04/08/2019 10:30,54.31498516,43.59611614,10.67,1.167298661,10.72257678,11.19,1192
1,04/08/2019 10:35,54.34395539,44.04129546,11.12,1.181987822,10.73745924,11.2,1207
1,04/08/2019 10:40,54.36324024,44.48350736,11.13,1.196676983,10.71392208,11.22,1222
1,04/08/2019 10:45,54.37668788,44.92245059,11.13,1.211366144,10.69821438,11.2,1237
1,04/08/2019 10:50,54.38661387,45.36136349,11.12,1.22409675,10.69776457,11.23,1250
1,04/08/2019 10:55,54.39441619,45.81086196,11.13,1.235848079,10.72459689,11.25,1262
1,04/08/2019 11:00,54.40093869,46.25604856,11.13,1.24662013,10.68631376,11.24,1273
1,04/08/2019 11:05,54.40669236,46.69697477,11.14,1.260330014,10.67338387,11.24,1287
1,04/08/2019 11:10,54.41198197,47.12670118,11.14,1.272081343,10.68780905,11.28,1299
1,04/08/2019 11:15,54.41765217,47.54127788,11.11,1.284811949,10.66717198,11.27,1312
1,04/08/2019 11:20,54.423555,47.93860099,11.11,1.296563278,10.66434886,11.27,1324
1,04/08/2019 11:25,54.42959391,48.31770475,11.12,1.308314606,10.65133908,11.31,1336
1,04/08/2019 11:30,54.43571837,48.67831102,11.13,1.31810738,10.61823169,11.27,1346
1,04/08/2019 11:35,54.44189324,49.02056869,11.11,1.327900154,10.62273131,11.3,1356
1,04/08/2019 11:40,54.44809723,49.34488898,11.11,1.338672206,10.62509133,11.32,1367
1,04/08/2019 11:45,54.45431999,49.65181856,11.11,1.34846498,10.59736942,11.31,1377
1,04/08/2019 11:50,54.46055355,49.94200365,11.1,1.358257754,10.58696642,11.33,1387
1,04/08/2019 11:55,54.46679335,50.21613317,11.12,1.36707125,10.5741322,11.31,1396
1,04/08/2019 12:00,54.47303749,50.47491656,11.09,1.375884747,10.55963468,11.31,1405
1,04/08/2019 12:05,54.47928292,50.71935969,11.11,1.380781134,10.55897277,11.33,1410
1,04/08/2019 12:10,54.485531,50.94998044,11.09,1.385677521,10.54608526,11.33,1415
1,04/08/2019 12:15,54.44635963,51.16742298,11.09,1.390573908,10.51395496,11.34,1420
1,04/08/2019 12:20,54.37984526,51.37236925,11.08,1.396449572,10.50181287,11.33,1426
1,04/08/2019 12:25,54.29687618,51.56548173,11.11,1.403304514,10.50401854,11.34,1433
1,04/08/2019 12:30,54.20400988,51.74739189,11.09,1.408200901,10.48199953,11.33,1438
