reach,date_time,Qi,Qsite,Ci,PAR,Cobs,Temp,P
1,05/08/2019 00:00,23.523,72.29915761,11.06,3.82E-05,,12.54,98.1
1,05/08/2019 00:05,23.33775,70.18978308,11.05,3.72E-05,,12.46,98.1
1,05/08/2019 00:10,23.1525,68.08040855,11.03,3.72E-05,,12.39,98.1
1,05/08/2019 00:15,22.96725,65.97103402,11.02,4.11E-05,,12.35,98.1
1,05/08/2019 00:20,22.782,63.86165949,10.99,3.82E-05,,12.37,98.1
1,05/08/2019 00:25,22.59675,61.75228496,11,3.82E-05,,12.38,98.1
1,05/08/2019 00:30,22.4115,59.64291043,10.99,3.92E-05,,12.31,98.1
1,05/08/2019 00:35,22.22625,57.5335359,10.98,4.02E-05,,12.28,98.1
1,05/08/2019 00:40,22.041,55.42416137,10.96,3.72E-05,,12.24,98.1
1,05/08/2019 00:45,21.85575,53.31478684,10.97,3.82E-05,,12.08,98.1
1,05/08/2019 00:50,21.6705,51.20541231,10.95,4.21E-05,,12.11,98.1
1,05/08/2019 00:55,21.48525,49.09603778,10.93,4.02E-05,,12.12,98.1
1,05/08/2019 01:00,21.3,46.98666326,10.93,3.82E-05,,12,98.1
1,05/08/2019 01:05,21.18583333,45.91581296,10.9,3.72E-05,,12.07,98.1
1,05/08/2019 01:10,21.07166667,44.84496267,10.9,3.43E-05,,12.03,98.1
1,05/08/2019 01:15,20.9575,43.77411238,10.88,3.43E-05,,11.99,98.1
1,05/08/2019 01:20,20.84333333,42.70326209,10.87,3.33E-05,,11.85,98.1
1,05/08/2019 01:25,20.72916667,41.6324118,10.86,3.62E-05,,11.83,98.1
1,05/08/2019 01:30,20.615,40.56156151,10.85,3.92E-05,,11.84,98.1
1,05/08/2019 01:35,20.50083333,39.49071122,10.82,3.62E-05,,11.71,98.1
1,05/08/2019 01:40,20.38666667,38.41986093,10.82,3.33E-05,,11.71,98.1
1,05/08/2019 01:45,20.2725,37.34901063,10.79,3.13E-05,,11.8,98.1
1,05/08/2019 01:50,20.15833333,36.27816034,10.77,2.84E-05,,11.73,98.1
1,05/08/2019 01:55,20.04416667,35.20731005,10.76,2.94E-05,,11.67,98.1
1,05/08/2019 02:00,19.93,34.13645976,10.73,3.33E-05,,11.68,98.1
1,05/08/2019 02:05,19.92333333,33.56185162,10.71,2.84E-05,,11.6,98.1
1,05/08/2019 02:10,19.91666667,32.98724349,10.69,3.23E-05,,11.5,98.1
1,05/08/2019 02:15,19.91,32.41263535,10.66,2.55E-05,,11.63,98.1
1,05/08/2019 02:20,19.90333333,31.83802722,10.61,2.64E-05,,11.56,98.1
1,05/08/2019 02:25,19.89666667,31.26341908,10.58,3.04E-05,,11.76,98.1
1,05/08/2019 02:30,19.89,30.68881094,10.57,2.84E-05,,11.8,98.1
1,05/08/2019 02:35,19.88333333,30.11420281,10.52,3.04E-05,,11.75,98.1
1,05/08/2019 02:40,19.87666667,29.53959467,10.48,3.23E-05,,11.87,98.1
1,05/08/2019 02:45,19.87,28.96498653,10.43,3.04E-05,,11.56,98.1
1,05/08/2019 02:50,19.86333333,28.3903784,10.4,2.94E-05,,11.45,98.1
1,05/08/2019 02:55,19.85666667,27.81577026,10.37,3.13E-05,,11.69,98.1
1,05/08/2019 03:00,19.85,27.24116213,10.34,3.53E-05,,11.91,98.1
1,05/08/2019 03:05,19.7965,26.9486832,10.29,2.74E-05,,11.56,98.1
1,05/08/2019 03:10,19.743,26.65620428,10.26,3.13E-05,,11.8,98.1
1,05/08/2019 03:15,19.6895,26.36372536,10.25,3.72E-05,,11.98,98.1
1,05/08/2019 03:20,19.636,26.07124644,10.2,3.23E-05,,11.95,98.1
1,05/08/2019 03:25,19.5825,25.77876752,10.15,3.33E-05,,11.84,98.1
1,05/08/2019 03:30,19.529,25.48628859,10.15,3.43E-05,,11.78,98.1
1,05/08/2019 03:35,19.4755,25.19380967,10.12,4.11E-05,,11.9,98.1
1,05/08/2019 03:40,19.422,24.90133075,10.09,5.19E-05,,11.66,98.1
1,05/08/2019 03:45,19.3685,24.60885183,10.08,6.66E-05,,11.87,98
1,05/08/2019 03:50,19.315,24.3163729,10.05,9.30E-05,,12.03,98
1,05/08/2019 03:55,19.2615,24.02389398,10.03,0.000130244,,11.83,98
1,05/08/2019 04:00,19.208,23.73141506,10.01,0.000200752,,11.73,98
1,05/08/2019 04:05,20.82666667,23.55503769,9.98,0.000307493,,11.73,98
1,05/08/2019 04:10,22.44533333,23.37866031,9.97,0.000480825,,11.74,98
1,05/08/2019 04:15,24.064,23.20228294,9.95,0.000816717,,11.84,98
1,05/08/2019 04:20,25.68266667,23.02590557,9.92,0.001255434,,11.83,98
1,05/08/2019 04:25,27.30133333,22.8495282,9.91,0.001740176,,11.74,98
1,05/08/2019 04:30,28.92,22.67315082,9.89,0.002293468,,11.75,98
1,05/08/2019 04:35,30.53866667,22.49677345,9.86,0.003175797,,11.64,98
1,05/08/2019 04:40,32.15733333,22.32039608,9.85,0.004386183,,11.66,98
1,05/08/2019 04:45,33.776,22.1440187,9.83,0.005414425,,11.41,98
1,05/08/2019 04:50,35.39466667,21.96764133,9.83,0.006742325,,11.6,98
1,05/08/2019 04:55,37.01333333,21.79126396,9.81,0.008588263,,11.58,98
1,05/08/2019 05:00,38.632,21.61488658,9.8,0.011046249,,11.38,98
1,05/08/2019 05:05,39.98141667,22.29051702,9.8,0.012280139,,11.4,98
1,05/08/2019 05:10,41.33083333,22.96614746,9.78,0.01383719,,11.47,98
1,05/08/2019 05:15,42.68025,23.6417779,9.77,0.01634414,,11.43,98
1,05/08/2019 05:20,44.02966667,24.31740834,9.78,0.019810782,,11.21,98
1,05/08/2019 05:25,45.37908333,24.99303878,9.78,0.021622445,,11.13,98
1,05/08/2019 05:30,46.7285,25.66866922,9.76,0.026185878,,11.16,98
1,05/08/2019 05:35,48.07791667,26.34429966,9.78,0.026391526,,11.13,98
1,05/08/2019 05:40,49.42733333,27.0199301,9.78,0.028820134,,11.15,98
1,05/08/2019 05:45,50.77675,27.69556054,9.79,0.03367735,,11.12,98
1,05/08/2019 05:50,52.12616667,28.37119098,9.82,0.038113476,,10.87,98
1,05/08/2019 05:55,53.47558333,29.04682142,9.85,0.042735666,,10.92,98
1,05/08/2019 06:00,54.825,29.72245186,9.88,0.051872324,,10.83,98
1,05/08/2019 06:05,55.02691667,30.75949651,9.92,0.057532547,,10.8,98
1,05/08/2019 06:10,55.22883333,31.79654116,9.98,0.064475624,,10.73,98
1,05/08/2019 06:15,55.43075,32.83358581,10.06,0.075639386,,10.75,98
1,05/08/2019 06:20,55.63266667,33.87063046,10.15,0.083238579,,10.71,98
1,05/08/2019 06:25,55.83458333,34.90767511,10.26,0.092345859,,10.74,98
