reach,x,t,day_no,date_time,Qi,Qsite,Ci,PAR,Cobs,Temp,P
1,0,0,,04/08/2019 10:25,54.38791667,43.69125533,11.07,1.153588777,11.21,10.56,98.2
1,1,5,,04/08/2019 10:30,54.3925,43.95679259,10.67,1.167298661,11.19,10.85,98.2
1,2,10,,04/08/2019 10:35,54.39708333,44.22232985,11.12,1.181987822,11.2,10.79,98.2
1,3,15,,04/08/2019 10:40,54.40166667,44.48786712,11.13,1.196676983,11.22,10.88,98.2
1,4,20,,04/08/2019 10:45,54.40625,44.75340438,11.13,1.211366144,11.2,10.94,98.2
1,5,25,,04/08/2019 10:50,54.41083333,45.01894165,11.12,1.22409675,11.23,10.94,98.2
1,6,30,,04/08/2019 10:55,54.41541667,45.28447891,11.13,1.235848079,11.25,10.83,98.1
1,7,35,,04/08/2019 11:00,54.42,45.55001618,11.13,1.24662013,11.24,10.98,98.1
1,8,40,,04/08/2019 11:05,54.42625,45.74751511,11.14,1.260330014,11.24,11.03,98.1
1,9,45,,04/08/2019 11:10,54.4325,45.94501404,11.14,1.272081343,11.28,10.97,98.1
1,10,50,,04/08/2019 11:15,54.43875,46.14251297,11.11,1.284811949,11.27,11.05,98.1
1,11,55,,04/08/2019 11:20,54.445,46.3400119,11.11,1.296563278,11.27,11.06,98.1
1,12,60,,04/08/2019 11:25,54.45125,46.53751083,11.12,1.308314606,11.31,11.11,98.1
1,13,65,,04/08/2019 11:30,54.4575,46.73500976,11.13,1.31810738,11.27,11.24,98.1
1,14,70,,04/08/2019 11:35,54.46375,46.93250869,11.11,1.327900154,11.3,11.22,98.1
1,15,75,,04/08/2019 11:40,54.47,47.13000762,11.11,1.338672206,11.32,11.21,98.1
1,16,80,,04/08/2019 11:45,54.47625,47.32750655,11.11,1.34846498,11.31,11.32,98.1
1,17,85,,04/08/2019 11:50,54.4825,47.52500548,11.1,1.358257754,11.33,11.36,98.1
1,18,90,,04/08/2019 11:55,54.48875,47.72250441,11.12,1.36707125,11.31,11.41,98.1
1,19,95,,04/08/2019 12:00,54.495,47.92000334,11.09,1.375884747,11.31,11.47,98.1
1,20,100,,04/08/2019 12:05,54.387,48.06703115,11.11,1.380781134,11.33,11.47,98.1
1,21,105,,04/08/2019 12:10,54.279,48.21405896,11.09,1.385677521,11.33,11.52,98.1
1,22,110,,04/08/2019 12:15,54.171,48.36108676,11.09,1.390573908,11.34,11.65,98.1
1,23,115,,04/08/2019 12:20,54.063,48.50811457,11.08,1.396449572,11.33,11.7,98.1
1,24,120,,04/08/2019 12:25,53.955,48.65514237,11.11,1.403304514,11.34,11.69,98.1
1,25,125,,04/08/2019 12:30,53.847,48.80217018,11.09,1.408200901,11.33,11.78,98.1
1,26,130,,04/08/2019 12:35,53.739,48.94919799,11.09,1.417014398,11.35,11.75,98.1
1,27,135,,04/08/2019 12:40,53.631,49.09622579,11.09,1.432682836,11.34,11.93,98.1
1,28,140,,04/08/2019 12:45,53.523,49.2432536,11.09,1.420931507,11.36,11.84,98.1
1,29,145,,04/08/2019 12:50,53.415,49.39028141,11.07,1.430724281,11.37,11.84,98.1
1,30,150,,04/08/2019 12:55,53.307,49.53730921,11.08,1.425827894,11.33,12.07,98
1,31,155,,04/08/2019 13:00,53.199,49.68433702,11.1,1.453247662,11.31,12.11,98
1,32,160,,04/08/2019 13:05,53.07808333,49.76313679,11.08,1.236827356,11.33,12.15,98
1,33,165,,04/08/2019 13:10,52.95716667,49.84193655,11.06,0.945002691,11.33,12.25,98
1,34,170,,04/08/2019 13:15,52.83625,49.92073632,11.07,1.508087196,11.32,12.31,98
1,35,175,,04/08/2019 13:20,52.71533333,49.99953608,11.06,1.335734374,11.34,12.28,98
1,36,180,,04/08/2019 13:25,52.59441667,50.07833585,11.04,1.283832671,11.33,12.33,98
1,37,185,,04/08/2019 13:30,52.4735,50.15713561,11.04,1.458144049,11.31,12.53,98
1,38,190,,04/08/2019 13:35,52.35258333,50.23593537,11.03,1.354340644,11.32,12.56,98
1,39,195,,04/08/2019 13:40,52.23166667,50.31473514,11.03,0.653080098,11.32,12.61,98
1,40,200,,04/08/2019 13:45,52.11075,50.3935349,11.04,1.51396286,11.32,12.66,98
1,41,205,,04/08/2019 13:50,51.98983333,50.47233467,11.05,1.39351174,11.33,12.7,98
1,42,210,,04/08/2019 13:55,51.86891667,50.55113443,11.02,0.845116396,11.32,12.78,98
1,43,215,,04/08/2019 14:00,51.748,50.6299342,11.03,0.852950615,11.32,12.85,98
1,44,220,,04/08/2019 14:05,51.55516667,50.65503004,11.02,1.304397497,11.33,12.9,98
1,45,225,,04/08/2019 14:10,51.36233333,50.68012589,11.02,1.379801857,11.33,12.95,98
1,46,230,,04/08/2019 14:15,51.1695,50.70522173,11.03,1.392532463,11.32,13.07,98
1,47,235,,04/08/2019 14:20,50.97666667,50.73031758,11.01,1.304397497,11.32,13.12,98
1,48,240,,04/08/2019 14:25,50.78383333,50.75541342,11.02,1.309293884,11.32,13.15,98
1,49,245,,04/08/2019 14:30,50.591,50.78050926,11.02,1.302438942,11.33,13.24,98
1,50,250,,04/08/2019 14:35,50.39816667,50.80560511,11,1.168277938,11.34,13.24,98
