reach,x,t,date_time,Qi,Q,Qsite,Ci,PAR,Cs,Cobs,PAR_umol
1,0,0,04/08/2019 10:25,54.38791667,43.69125533,2621.47532,11.07,1.153588777,10.79670786,11.21,1178
1,1,5,04/08/2019 10:30,54.3925,43.95679259,2637.407555,10.67,1.167298661,10.72257678,11.19,1192
1,2,10,04/08/2019 10:35,54.39708333,44.22232985,2653.339791,11.12,1.181987822,10.73745924,11.2,1207
1,3,15,04/08/2019 10:40,54.40166667,44.48786712,2669.272027,11.13,1.196676983,10.71392208,11.22,1222
1,4,20,04/08/2019 10:45,54.40625,44.75340438,2685.204263,11.13,1.211366144,10.69821438,11.2,1237
1,5,25,04/08/2019 10:50,54.41083333,45.01894165,2701.136499,11.12,1.22409675,10.69776457,11.23,1250
1,6,30,04/08/2019 10:55,54.41541667,45.28447891,2717.068735,11.13,1.235848079,10.72459689,11.25,1262
1,7,35,04/08/2019 11:00,54.42,45.55001618,2733.000971,11.13,1.24662013,10.68631376,11.24,1273
1,8,40,04/08/2019 11:05,54.42625,45.74751511,2744.850906,11.14,1.260330014,10.67338387,11.24,1287
1,9,45,04/08/2019 11:10,54.4325,45.94501404,2756.700842,11.14,1.272081343,10.68780905,11.28,1299
1,10,50,04/08/2019 11:15,54.43875,46.14251297,2768.550778,11.11,1.284811949,10.66717198,11.27,1312
1,11,55,04/08/2019 11:20,54.445,46.3400119,2780.400714,11.11,1.296563278,10.66434886,11.27,1324
1,12,60,04/08/2019 11:25,54.45125,46.53751083,2792.25065,11.12,1.308314606,10.65133908,11.31,1336
1,13,65,04/08/2019 11:30,54.4575,46.73500976,2804.100586,11.13,1.31810738,10.61823169,11.27,1346
1,14,70,04/08/2019 11:35,54.46375,46.93250869,2815.950521,11.11,1.327900154,10.62273131,11.3,1356
1,15,75,04/08/2019 11:40,54.47,47.13000762,2827.800457,11.11,1.338672206,10.62509133,11.32,1367
1,16,80,04/08/2019 11:45,54.47625,47.32750655,2839.650393,11.11,1.34846498,10.59736942,11.31,1377
1,17,85,04/08/2019 11:50,54.4825,47.52500548,2851.500329,11.1,1.358257754,10.58696642,11.33,1387
1,18,90,04/08/2019 11:55,54.48875,47.72250441,2863.350265,11.12,1.36707125,10.5741322,11.31,1396
1,19,95,04/08/2019 12:00,54.495,47.92000334,2875.200201,11.09,1.375884747,10.55963468,11.31,1405
1,20,100,04/08/2019 12:05,54.387,48.06703115,2884.021869,11.11,1.380781134,10.55897277,11.33,1410
1,21,105,04/08/2019 12:10,54.279,48.21405896,2892.843537,11.09,1.385677521,10.54608526,11.33,1415
1,22,110,04/08/2019 12:15,54.171,48.36108676,2901.665206,11.09,1.390573908,10.51395496,11.34,1420
